Designator,Mid X,Mid Y,Rotation,Layer
BAT+,175.527728,-97.210757,0.0,top
BAT-,169.5708,-97.19265,0.0,top
D1,65.381545,-70.870978,90.0,bottom
D10,122.388485,-71.846104,90.0,bottom
D11,141.552942,-80.328842,90.0,bottom
D12,160.621215,-89.786706,90.0,bottom
D13,65.279847,-108.753282,90.0,bottom
D14,84.500667,-108.854979,90.0,bottom
D15,103.561975,-99.240715,90.0,bottom
D16,122.600486,-90.563019,90.0,bottom
D17,141.654639,-99.600511,90.0,bottom
D18,160.570367,-109.058374,90.0,bottom
D19,65.483242,-128.024951,90.0,bottom
D2,84.348121,-70.921827,90.0,bottom
D20,84.802541,-128.435426,90.0,bottom
D21,103.467243,-118.312843,90.0,bottom
D22,122.484668,-108.956677,90.0,bottom
D23,141.756337,-118.414541,90.0,bottom
D24,160.621215,-127.821556,90.0,bottom
D25,117.355443,-129.263728,40.0,bottom
D26,143.202525,-139.744979,135.0,bottom
D27,165.667551,-143.162551,270.0,bottom
D28,174.796518,-117.179015,180.0,bottom
D3,103.619789,-61.260569,90.0,bottom
D4,122.657484,-52.326267,90.0,bottom
D5,141.506785,-61.560328,90.0,bottom
D6,160.677508,-70.466814,90.0,bottom
D7,65.432394,-90.091798,90.0,bottom
D8,84.39897,-89.888403,90.0,bottom
D9,103.595513,-80.826563,90.0,bottom
S1,56.025,-67.665,0.0,top
S10,113.175,-67.665,0.0,top
S11,132.225,-77.19,0.0,top
S12,151.275,-86.715,0.0,top
S13,56.025,-105.765,0.0,top
S14,75.075,-105.765,0.0,top
S15,94.125,-96.24,0.0,top
S16,113.175,-86.715,0.0,top
S17,132.225,-96.24,0.0,top
S18,151.275,-105.765,0.0,top
S19,56.025,-124.815,0.0,top
S2,75.075,-67.665,0.0,top
S20,75.075,-124.815,0.0,top
S21,94.125,-115.29,0.0,top
S22,113.175,-105.765,0.0,top
S23,132.225,-115.29,0.0,top
S24,151.275,-124.815,0.0,top
S25,108.105862,-134.840992,320.0,top
S26,133.066848,-134.338092,315.0,top
S27,153.414235,-143.667714,310.0,top
S3,94.125,-58.14,0.0,top
S4,113.175,-48.615,0.0,top
S5,132.225,-58.14,0.0,top
S6,151.275,-67.665,0.0,top
S7,56.025,-86.715,0.0,top
S8,75.075,-86.715,0.0,top
S9,94.125,-77.19,0.0,top
SW1,174.438049,-128.32973,0.0,top
SW2,182.727247,-101.613927,270.0,top
U1,174.970277,-76.589099,0.0,top
